Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Jackfruit sabzi (Kathal ki sabzi),Main course,-,100g,625.4,3.4,0.69,67.6
Avial,Main course,-,100g,124.56,8.47,2.46,8.94
Al yakhani,Main course,-,100g,147.54,4.65,2.86,13.14
Shahi paneer,Main course,-,100g,156.5,6.64,5.06,12.34
Paneer in butter sauce,Main course,-,100g,145.61,9.7,6.99,8.81
Methi malai paneer,Main course,-,100g,194.98,8.15,7.34,14.76
Chilli paneer,Main course,-,100g,777.51,3.31,2.1,84.01
Paneer makhana korma,Main course,-,100g,775.82,4.63,3.24,82.76
Kadhai Paneer,Main course,-,100g,107.99,7.34,4.33,6.81
Roghan josh,Main course,-,100g,139.59,4.93,9.56,9.02
Spinach mutton (Palak mutton),Main course,-,100g,80.32,3.45,5.74,4.71
Pea keema curry (Matar keema ki sabzi),Main course,-,100g,133,6.24,8.43,8.14
Keema kofta curry,Main course,-,100g,154.45,5.64,9.77,10.39
Kashmiri mutton koftas (Gushtaba),Main course,-,100g,97.42,3.04,6.33,6.77
Mutton yakhni,Main course,-,100g,104.13,0.84,8.27,7.7
Chicken yakhni,Main course,-,100g,99,0.78,10.66,6.1
Mutton do piaza,Main course,-,100g,183.3,4.14,9.39,14.41
Mutton chops,Main course,-,100g,663.64,1.48,4.03,71.31
Shammi kebab,Main course,-,100g,685.69,3.54,4.52,72.61
Scotch egg,Main course,-,100g,676.89,1.91,4.05,72.62
Shepherd's pie (with minced meat),Main course,-,100g,142.78,8.06,7.45,8.88
Chicken curry,Main course,-,100g,129.22,3.38,11.79,7.57
Tandoori chicken,Main course,-,100g,145.2,2.34,16.26,7.93
Butter chicken,Main course,-,100g,137,3.74,10.92,8.7
Chicken kebab,Main course,-,100g,729.41,1.11,3.71,78.89
Chilli chicken,Main course,-,100g,198.83,2.86,9.57,16.56
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),Main course,-,100g,125.03,2.51,11.48,7.61
Fish curry (Machli curry),Main course,-,100g,111.13,3.77,8.76,6.69
Fried fish (Indian style) (Tali hui machli),Main course,-,100g,658.54,5.4,4.35,68.88
Fried fish and Chips (English Style) (Tali hui machli aur chips),Main course,-,100g,651.75,2.77,3.36,69.69
Tomato fish,Main course,-,100g,489.79,3.18,2.39,51.91
Baked fish with cheese sauce,Main course,-,100g,113.96,4.06,8.64,7.02
Fish tikka,Main course,-,100g,117.33,3.91,16,4.15
Tandoori fish,Main course,-,100g,95.98,2.37,11.19,4.64
