Dish Name,Category,Serving,Quantity,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g)
Jeera Rice,Main course,1 bowl,200g,250,38,5,6
Curd Rice,Main course,1 bowl,200g,200,28,6,5
Buttermilk,Beverages,1 glaBeverages,200ml,90,8,4,3
Dhokla,Snacks,2 pcs,100g,160,22,5,6
Khandvi,Snacks,4 rolls,80g,140,16,4,5
Vegetable Upma,Snacks,1 bowl,200g,210,35,4,5
Poha,Snacks,1 bowl,200g,240,34,5,7
Sabudana Khichdi,Snacks,1 bowl,200g,300,45,4,12
Thepla,Snacks,1 pc,60g,130,22,3,5
Khichdi,Main course,1 bowl,250g,290,38,8,9
Moong Dal,Main course,1 bowl,150g,180,24,9,4
Chana Masala,Main course,1 bowl,200g,280,30,10,12
Tandoori Chicken,Main course,2 pieces,200g,320,6,34,16
Kebabs,Main course,3 pcs,150g,340,10,28,22
Sambar,Other,1 bowl,150g,120,16,5,4
Rasam,Other,1 bowl,150g,60,8,2,2
Coconut Chutney,Other,2 tbsp,30g,100,5,1,9
Mint Chutney,Other,2 tbsp,30g,40,4,1,2
Gulab Jamun,Sweets,2 pcs,100g,300,40,4,14
Rasgulla,Sweets,2 pcs ~ 100g,100g,180,38,4,0.5
Jalebi,Sweets,2 pcs,100g,350,60,2,15
Halwa,Sweets,1 bowl,150g,400,50,4,20
Kheer,Sweets,1 bowl,200g,280,32,6,12
Basundi,Sweets,1 bowl,150g,330,28,7,18
Shrikhand,Sweets,1 bowl,150g,310,38,8,14
Papad,Other,1 pc,15g,55,5,2,3
Grilled Chicken Breast,Main course,1 piece,150g,240,0,35,10
Scrambled Eggs,Main course,2 eggs,120g,200,2,14,16
Boiled Eggs,Main course,2 eggs,100g,155,1,13,11
Avocado Toast,Main course,1 slice,100g,250,22,6,15
Caesar Salad,Main course,1 bowl,200g,330,12,8,28
Greek Yogurt (plain),Main course,1 cup,200g,120,8,10,5
Pasta Alfredo,Main course,1 plate,250g,540,60,12,30
Spaghetti Bolognese,Main course,1 plate,300g,480,55,18,20
Margherita Pizza,Main course,2 slices,200g,500,50,18,22
Cheeseburger,Main course,1 piece,220g,600,36,28,38
French Fries,Main course,1 serving,150g,400,45,4,22
Hot Dog,Main course,1 piece,150g,400,28,15,28
Grilled Cheese Sandwich,Main course,1 sandwich,160g,380,35,12,22
Peanut Butter Sandwich,Main course,1 sandwich,150g,420,30,15,28
Omelette with Veggies,Main course,1 omelette,180g,280,6,16,22
Bagel with Cream Cheese,Main course,1 bagel,130g,350,50,9,12
Chicken Nuggets,Main course,6 pieces,150g,450,28,20,30
Tuna Sandwich,Main course,1 sandwich,200g,400,30,25,20
BLT Sandwich,Main course,1 sandwich,180g,390,32,18,24
Beef Burrito,Main course,1 piece,250g,600,50,28,30
Chicken Quesadilla,Main course,1 piece,200g,520,40,25,28
Vegetable Wrap,Main course,1 wrap,180g,360,42,10,16
Falafel Wrap,Main course,1 wrap,200g,450,40,15,20
Hummus with Pita,Main course,1 serving,150g,350,30,10,18
Shawarma Roll (Chicken),Main course,1 roll,200g,480,35,25,22
Grilled Salmon,Main course,1 fillet,180g,360,0,30,24
Tuna Salad,Main course,1 bowl,200g,280,10,25,18
Cobb Salad,Main course,1 bowl,250g,420,14,20,32
Veggie Burger,Main course,1 burger,180g,380,40,15,16
Mac and Cheese,Main course,1 bowl,250g,500,50,12,28
Baked Potato with Cheese,Main course,1 piece,200g,400,45,10,20
Mashed Potatoes,Main course,1 bowl,200g,280,35,5,12
Steak (grilled),Main course,1 piece,200g,450,0,40,32
Pancakes (with syrup),Main course,2 pancakes,200g,500,60,8,20
Waffles (with butter),Main course,2 waffles,200g,520,55,9,28
Hash Browns,Main course,1 serving,150g,350,30,4,22
Chili Con Carne,Main course,1 bowl,250g,420,35,25,20
Lasagna (meat),Main course,1 piece,250g,480,40,22,28
Quiche (vegetable),Main course,1 slice,180g,360,28,12,22
Ramen (instant),Main course,1 bowl,250g,450,50,10,20
Tofu Stir Fry,Main course,1 bowl,200g,350,20,18,22
Teriyaki Chicken,Main course,1 bowl,200g,400,25,30,18
Sushi Rolls (6 pcs),Main course,6 pieces,200g,300,45,10,5
California Roll (8 pcs),Main course,8 pieces,250g,340,38,12,10
Beef Tacos,Main course,2 tacos,180g,420,30,20,24
Chicken Tacos,Main course,2 tacos,180g,380,28,22,20
Vegetable Soup,Main course,1 bowl,200g,150,18,5,6
Cream of Mushroom Soup,Main course,1 bowl,200g,220,14,5,16
Clam Chowder,Main course,1 bowl,250g,320,25,12,20
Apple Pie,Sweets,1 slice,150g,350,45,3,18
Chocolate Cake,Sweets,1 slice,150g,400,50,5,22
Brownie,Sweets,1 piece,100g,420,45,5,24
Eggs Benedict,Main course,1 plate,200g,420,28,18,28
Tofu Salad,Main course,1 bowl,200g,260,18,14,16
Chicken Caesar Wrap,Main course,1 wrap,200g,470,35,28,24
Lentil Soup,Main course,1 bowl,200g,180,28,12,4
Beef Stroganoff,Main course,1 bowl,250g,480,30,25,28
Stuffed Bell Peppers,Main course,2 halves,200g,320,22,18,18
Shrimp Scampi,Main course,1 plate,200g,400,35,20,22
Chicken Pot Pie,Main course,1 slice,250g,450,30,22,28
Crab Cakes,Main course,2 pieces,150g,320,18,20,20
Fish Tacos,Main course,2 tacos,180g,370,30,22,18
BBQ Chicken Wings,Main course,4 pieces,200g,420,10,28,30
Turkey Sandwich,Main course,1 sandwich,180g,350,32,20,14
Spinach Ricotta Cannelloni,Main course,2 rolls,250g,390,34,16,22
Gnocchi in Tomato Sauce,Main course,1 plate,250g,460,55,10,18
Pesto Pasta,Main course,1 bowl,250g,500,52,12,26
Egg Salad Sandwich,Main course,1 sandwich,180g,380,30,14,24
Chicken Enchiladas,Main course,2 enchiladas,250g,480,38,24,28
Vegetarian Burrito Bowl,Main course,1 bowl,300g,430,45,18,18
Tortilla Chips with Guacamole,Main course,1 serving,150g,420,40,6,24
Lamb Gyro,Main course,1 wrap,200g,520,38,22,28
Chicken Fried Rice,Main course,1 bowl,250g,480,55,20,20
Sweet and Sour Chicken,Main course,1 bowl,250g,510,45,22,24
Pad Thai (Chicken),Main course,1 plate,300g,540,58,24,22
General Tso's Chicken,Main course,1 bowl,250g,550,45,25,28
Peking Duck,Main course,1 serving,200g,480,15,35,32
Kimchi Fried Rice,Main course,1 bowl,250g,420,48,12,18
Bibimbap,Main course,1 bowl,300g,480,60,16,18
Miso Soup,Main course,1 bowl,200g,90,8,5,4
Pho (Beef),Main course,1 bowl,350g,400,50,20,10
Udon Noodle Soup,Main course,1 bowl,300g,380,60,12,8
Shoyu Ramen,Main course,1 bowl,300g,420,55,15,12
Salmon Poke Bowl,Main course,1 bowl,300g,460,40,25,22
Vegetable Tempura,Main course,1 plate,200g,380,35,8,24
Tofu Katsu Curry,Main course,1 plate,300g,490,50,16,24
Yakitori Chicken,Main course,3 skewers,150g,300,10,25,16
Tamago Sushi,Main course,2 pieces,100g,180,24,6,6
Beef Bulgogi,Main course,1 bowl,250g,460,30,25,26
Turkey Meatballs,Main course,4 pieces,150g,320,10,28,20
Baked Ziti,Main course,1 plate,250g,480,50,18,24
Eggplant Parmesan,Main course,1 slice,200g,420,30,14,26
Pumpkin Soup,Main course,1 bowl,200g,160,22,4,6
Broccoli Cheddar Soup,Main course,1 bowl,250g,280,20,8,18
Avocado Salad,Main course,1 bowl,200g,300,20,6,22
Fruit Smoothie (Banana-Strawberry),Main course,1 glaBeverages,300ml,220,40,5,4
Granola with Milk,Main course,1 bowl,200g,380,50,8,14
Chia Pudding,Sweets,1 bowl,150g,250,20,6,16
Couscous Salad,Sweets,1 bowl,200g,320,40,8,14
Caprese Salad,Sweets,1 plate,200g,280,10,12,20
Bruschetta,Sweets,3 pieces,120g,260,32,6,10
Tiramisu,Sweets,1 slice,150g,420,45,6,24
Crepes with Nutella,Sweets,2 pieces,180g,440,48,8,22
